Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
2016,178000,25.0,1396.0,69.0,5.0,2.5
2012,65664,16.55,1968.0,140.0,5.0,13.5
2007,63000,16.4,1497.0,78.0,5.0,1.85
2019,15369,0.0,1950.0,194.0,5.0,35.67
2016,63000,24.52,1248.0,88.5,7.0,8.15
2018,13000,22.1,1396.0,88.7,5.0,10.5
2008,73000,8.5,4806.0,500.0,5.0,14.5
2015,55729,15.1,2179.0,140.0,7.0,9.65
2012,45178,16.95,1197.0,78.9,5.0,3.48
2015,56066,19.64,1461.0,108.5,5.0,6.92
2016,37300,16.5,1198.0,86.8,5.0,6.46
2014,56000,18.53,1968.0,187.74,5.0,29.5
2006,230000,12.4,1998.0,132.0,8.0,4.5
2012,104000,12.8,2494.0,102.0,7.0,11.75
2012,95100,22.9,1248.0,74.0,5.0,3.75
2017,70000,17.57,1193.0,88.7,5.0,4.5
2016,54944,18.0,1198.0,86.7,5.0,4.82
2012,70337,20.0,1399.0,68.0,5.0,2.8
2013,99638,23.2,1248.0,73.94,5.0,3.11
2009,52000,17.8,1497.0,117.3,5.0,3.25
2011,75000,16.73,1995.0,218.0,5.0,13.9
2009,95980,20.36,1197.0,78.9,5.0,2.25
2016,16000,18.9,1197.0,82.0,5.0,5.75
2016,18949,17.8,1198.0,86.7,5.0,5.0
2014,107000,13.0,2982.0,168.5,7.0,16.5
2018,48367,17.68,1968.0,174.33,5.0,39.58
2013,57000,22.7,1498.0,89.84,5.0,5.5
2014,58000,15.1,2179.0,140.0,7.0,8.1
2015,30000,25.8,1498.0,98.6,5.0,3.5
2013,34212,22.07,1199.0,73.9,5.0,2.79
2010,70002,16.2,1493.0,110.0,5.0,3.45
2016,62000,18.9,998.0,67.1,5.0,4.45
2010,62001,15.26,1598.0,103.5,5.0,2.65
2011,78958,23.0,1396.0,90.0,5.0,3.8
2014,30180,18.5,1197.0,82.85,5.0,4.65
2017,32851,19.83,1198.0,67.0,7.0,3.95
2010,30000,14.94,2967.0,241.4,5.0,9.8
2009,66000,17.0,1197.0,80.0,5.0,2.7
2010,93850,14.0,796.0,35.0,5.0,2.41
2014,53000,17.71,1197.0,78.9,5.0,3.9
2011,78000,14.74,2993.0,270.9,5.0,24.0
2012,65000,16.0,2179.0,140.0,7.0,5.75
2014,40000,22.32,1582.0,126.32,5.0,5.25
2017,30000,11.36,2755.0,171.5,7.0,19.25
2017,38053,15.1,1196.0,73.0,5.0,3.91
2014,25500,25.4,624.0,37.5,4.0,2.15
2015,56087,22.69,1995.0,190.0,5.0,20.75
2010,71088,13.5,1799.0,130.0,5.0,3.35
2014,55000,12.99,2494.0,100.6,7.0,11.11
2014,32700,23.3,1984.0,150.0,5.0,20.0
2016,39882,19.15,1198.0,75.94,5.0,6.55
2009,128000,10.8,2497.0,215.0,5.0,7.0
2016,55000,24.3,1248.0,88.5,5.0,7.5
2014,53753,15.0,2143.0,107.3,5.0,16.75
2018,10250,22.0,1582.0,126.2,5.0,10.95
2011,43874,18.9,998.0,67.1,5.0,2.45
2017,32684,21.9,624.0,37.48,4.0,3.23
2014,42000,12.05,2179.0,120.0,8.0,7.75
2009,28352,11.7,1796.0,178.0,5.0,9.35
2013,89900,26.6,998.0,58.16,5.0,3.25
2007,47700,10.8,2354.0,152.0,5.0,5.25
2015,55000,21.21,1498.0,103.2,5.0,7.25
2017,44285,20.73,1373.0,91.1,5.0,7.47
2016,54000,16.0,2179.0,140.0,7.0,13.25
2016,30232,21.1,1197.0,85.8,5.0,5.81
2014,88500,24.07,998.0,67.1,5.0,2.6
2017,13372,19.0,2996.0,362.07,2.0,54.0
2019,12645,17.0,1591.0,121.3,5.0,11.5
2010,94385,19.7,796.0,46.3,5.0,1.6
2015,31821,20.58,1995.0,143.0,5.0,17.22
2015,12000,19.0,1199.0,88.7,5.0,6.0
2012,88578,13.5,1799.0,130.0,5.0,3.95
2014,44965,19.27,2143.0,170.0,5.0,17.95
2014,45044,25.8,1498.0,98.6,5.0,3.7
2016,34204,22.0,1197.0,81.8,5.0,5.43
2012,91235,11.5,2982.0,171.0,7.0,13.49
2014,38800,18.6,1199.0,76.8,5.0,2.85
2013,83000,21.14,1498.0,103.52,5.0,4.75
2018,41283,20.73,1373.0,91.1,5.0,9.9
2013,23000,11.05,2894.0,444.0,4.0,37.0
2014,48000,21.76,1995.0,190.0,5.0,26.5
2015,48214,17.11,1968.0,174.33,5.0,23.32
2016,35000,22.9,1248.0,74.0,5.0,6.25
2010,35277,7.81,5461.0,362.9,5.0,30.0
2016,54620,21.66,1498.0,103.52,5.0,9.86
2012,136997,17.2,1968.0,138.1,5.0,8.5
2019,14322,21.1,814.0,55.2,5.0,4.23
2012,65634,22.07,1199.0,73.9,5.0,3.5
2016,6000,20.63,1198.0,67.06,5.0,2.5
2013,33280,19.4,1198.0,86.8,5.0,2.39
2013,29000,14.8,1595.0,120.7,5.0,11.25
2015,42831,26.0,1498.0,98.6,5.0,7.11
2016,90000,12.99,2494.0,100.6,7.0,10.9
2017,24005,20.4,1197.0,81.8,5.0,6.2
2012,32792,15.1,2179.0,140.0,7.0,7.9
2014,147898,22.7,1498.0,89.84,5.0,4.42
2012,131765,13.0,2982.0,168.5,7.0,13.5
2013,65000,21.5,1498.0,108.5,5.0,6.25
2010,66123,20.0,1399.0,68.0,5.0,2.1
2015,41000,15.3,2993.0,258.0,5.0,45.0
2017,23550,19.27,2143.0,167.62,5.0,33.66
2012,45000,19.4,1198.0,86.8,5.0,3.65
2013,60000,20.36,1197.0,78.9,5.0,2.75
2016,44414,17.9,2143.0,170.0,5.0,42.5
2019,1000,18.9,1197.0,81.86,5.0,6.5
2012,62500,17.68,1968.0,174.33,5.0,19.0
2013,21000,14.4,1598.0,103.6,5.0,4.45
2017,8525,16.6,1998.0,112.0,5.0,23.0
2014,29000,22.54,1396.0,88.73,5.0,8.35
2014,40000,17.68,1968.0,174.33,5.0,22.95
2012,88000,25.44,936.0,57.6,5.0,1.5
2012,53537,13.7,1798.0,157.75,5.0,6.89
2006,216000,17.8,1399.0,68.0,5.0,1.45
2014,51000,22.48,1995.0,190.0,5.0,33.5
2007,118500,12.9,1598.0,102.5,5.0,1.25
2012,63000,22.07,1199.0,73.9,5.0,4.2
2015,25000,19.98,1461.0,108.5,8.0,6.75
2014,37382,13.0,2143.0,201.1,5.0,32.0
2017,24773,21.4,1197.0,83.1,5.0,7.5
2012,62000,22.32,1582.0,126.32,5.0,4.6
2017,52340,19.81,1086.0,68.05,5.0,4.04
2016,56739,15.4,1997.0,120.0,7.0,10.31
2018,36091,12.7,2179.0,187.7,5.0,55.76
2010,120000,20.0,1399.0,68.0,5.0,2.6
2016,33000,25.47,1248.0,88.5,7.0,8.5
2014,52000,25.8,1498.0,98.6,5.0,3.5
2015,43571,20.36,1197.0,78.9,5.0,3.55
2013,50000,25.8,1498.0,98.6,5.0,3.25
2008,113000,17.5,1896.0,106.0,5.0,4.5
2014,90000,19.87,1461.0,83.8,5.0,5.35
2017,29000,17.45,1493.0,100.0,7.0,6.5
2016,20000,24.3,1248.0,88.5,5.0,9.0
2016,61012,18.6,1197.0,81.83,5.0,6.0
2009,87459,14.7,1390.0,85.0,5.0,2.75
2010,70500,15.64,1193.0,64.1,5.0,1.5
2015,64103,15.73,1968.0,174.33,5.0,19.9
2014,76000,14.7,1798.0,177.5,5.0,10.0
2014,104000,23.59,1364.0,67.06,5.0,3.0
2014,37245,14.8,1595.0,120.7,5.0,11.96
2013,45000,27.4,1498.0,98.6,5.0,3.25
2012,117837,22.32,1582.0,126.32,5.0,4.75
2014,30000,20.46,1461.0,83.8,5.0,5.95
2015,27057,15.29,1591.0,121.3,5.0,8.15
2016,8500,20.51,998.0,67.0,5.0,4.22
2010,30500,11.74,1796.0,186.0,5.0,10.5
2012,56000,11.8,2967.0,246.7,5.0,45.0
2012,44000,19.81,1086.0,68.05,5.0,2.9
2017,10500,14.3,1598.0,103.52,5.0,8.9
2017,26000,14.67,1798.0,177.46,5.0,26.0
2018,25166,17.19,1197.0,81.86,5.0,8.22
2014,64000,25.8,1498.0,98.6,5.0,3.5
2004,61000,18.9,998.0,67.1,5.0,1.25
2013,107000,21.03,1461.0,65.0,5.0,3.7
2018,29161,19.27,2143.0,167.62,5.0,39.41
2013,32000,22.5,998.0,67.04,5.0,2.65
2015,46173,19.01,1461.0,108.5,5.0,8.92
2017,26327,16.82,1998.0,189.08,4.0,35.67
2007,200000,17.2,1396.0,53.5,5.0,0.85
2016,60813,18.6,1199.0,76.8,5.0,3.32
2012,45000,22.07,1199.0,73.9,5.0,3.6
2016,64000,22.9,1248.0,74.0,5.0,6.8
2012,41284,20.0,1399.0,68.05,5.0,2.5
2019,14165,11.36,2755.0,171.5,7.0,19.64
2011,67000,11.72,2199.0,194.3,7.0,7.0
2011,32572,17.4,1497.0,117.3,5.0,3.87
2018,14960,18.6,1197.0,81.83,5.0,6.27
2015,55980,19.27,2143.0,167.62,5.0,18.12
2013,74000,25.44,936.0,57.6,5.0,2.65
2015,56847,22.54,1396.0,88.73,5.0,7.2
2015,121374,12.99,2494.0,100.6,7.0,14.3
2013,52000,20.77,1248.0,88.76,7.0,6.9
2014,118000,12.8,2494.0,102.0,7.0,10.75
2016,33915,17.8,1497.0,117.3,5.0,8.09
2014,82002,17.05,1995.0,184.0,5.0,18.5
2017,33000,24.0,1120.0,70.0,5.0,4.75
2016,34000,28.09,1248.0,88.5,5.0,8.45
2012,55000,20.5,1598.0,103.6,5.0,3.5
2006,160538,13.1,1493.0,82.0,5.0,1.8
2014,60000,19.91,1498.0,103.6,5.0,3.7
2017,49575,18.7,1199.0,88.7,5.0,7.17
2010,83000,19.81,1086.0,68.05,5.0,1.75
2018,51346,16.38,1995.0,183.0,5.0,21.99
2017,43000,13.68,2393.0,147.8,7.0,18.65
2011,35000,19.7,796.0,35.0,5.0,1.85
2017,27872,20.4,1197.0,81.8,5.0,5.95
2014,16514,18.9,1197.0,82.0,5.0,3.75
2012,120000,22.9,1248.0,74.0,5.0,3.75
2008,143275,22.0,1582.0,126.2,5.0,2.6
2010,52000,17.0,1197.0,80.0,5.0,2.8
2017,29819,11.57,2987.0,254.79,5.0,61.29
2014,57000,15.8,2148.0,170.0,5.0,18.0
2014,88500,23.2,1248.0,73.94,5.0,4.35
2016,28000,19.67,1582.0,126.2,5.0,13.75
2010,67000,19.0,998.0,66.1,5.0,2.0
2016,26000,19.64,1461.0,108.45,5.0,10.0
2010,120000,17.8,1248.0,76.0,5.0,1.65
2017,51982,16.55,2993.0,258.0,5.0,45.77
2010,36000,20.36,1197.0,78.9,5.0,3.25
2016,47000,12.8,2494.0,102.0,7.0,12.8
2002,60000,17.3,993.0,60.0,5.0,0.55
2018,31025,28.4,1248.0,74.0,5.0,7.15
2013,105000,12.05,2179.0,120.0,8.0,7.0
2017,121900,22.95,1248.0,74.0,5.0,3.75
2017,22695,18.88,999.0,123.24,5.0,8.5
2012,73000,23.4,1248.0,74.0,5.0,4.35
2016,32227,22.74,796.0,47.3,5.0,3.26
2011,55000,17.0,1497.0,118.0,5.0,4.21
2018,11287,12.07,2967.0,241.4,7.0,70.36
2009,48000,17.0,1896.0,105.0,5.0,2.95
2012,54308,17.1,1591.0,121.3,5.0,4.28
2009,78442,16.8,1497.0,118.0,5.0,3.57
2013,46000,21.9,1396.0,88.8,5.0,3.11
2014,45051,15.0,1396.0,98.6,5.0,5.96
2011,69000,20.54,1598.0,103.6,5.0,4.7
2014,49000,17.4,1497.0,117.3,5.0,6.9
2018,45000,22.95,1248.0,74.0,5.0,5.25
2015,64000,18.48,1995.0,177.0,5.0,28.0
2009,60000,18.9,1061.0,67.0,5.0,1.35
2015,62178,18.2,1199.0,88.7,5.0,4.85
2012,58006,15.0,1896.0,105.0,5.0,6.7
2010,74000,20.36,1197.0,78.9,5.0,3.1
2015,77771,19.27,2143.0,170.0,5.0,18.64
2012,45275,20.36,1197.0,78.9,5.0,2.8
2016,48000,13.68,2393.0,147.8,7.0,20.25
2015,31652,17.68,1968.0,174.33,5.0,26.78
2010,109000,12.99,2494.0,100.6,7.0,8.26
2015,31978,16.47,1198.0,73.9,5.0,3.89
2011,70000,20.92,998.0,67.1,5.0,2.1
2017,15000,18.0,1497.0,117.3,5.0,12.69
2013,59138,17.0,1405.0,70.0,5.0,2.58
2014,61726,17.68,1968.0,174.33,5.0,20.77
2015,48000,17.9,2143.0,136.0,5.0,20.26
2014,77815,23.1,998.0,67.04,5.0,4.25
2017,29000,17.9,2143.0,201.15,5.0,57.0
2017,44000,12.7,2179.0,187.7,5.0,44.0
2011,108626,20.54,1598.0,103.6,5.0,3.65
2012,71791,14.0,796.0,35.0,5.0,2.05
2012,91931,18.5,1198.0,86.8,5.0,3.13
2000,158000,14.07,2956.0,83.1,7.0,1.5
2012,91183,18.0,1248.0,75.0,5.0,2.85
2012,65000,18.9,998.0,67.1,5.0,2.65
2015,88428,16.0,2179.0,140.0,7.0,10.6
2008,138000,17.1,1396.0,70.0,5.0,1.25
2018,18000,16.02,1373.0,93.7,7.0,8.25
2011,60000,11.7,2354.0,177.6,5.0,4.45
2012,48000,19.3,1248.0,73.9,5.0,3.7
2009,160000,17.8,1399.0,68.0,5.0,2.8
2008,40000,17.7,1497.0,78.0,5.0,1.8
2014,51495,17.68,1968.0,174.33,5.0,21.95
2011,30000,9.52,2993.0,313.0,4.0,49.0
2017,97430,14.75,2967.0,245.0,7.0,62.67
2008,42496,26.3,998.0,67.1,5.0,1.4
2012,83000,23.0,1396.0,90.0,5.0,5.5
2009,37000,16.95,1197.0,78.9,5.0,2.95
2016,28503,19.0,1199.0,88.7,5.0,6.86
2015,76496,25.2,1248.0,74.0,5.0,6.15
2011,79152,18.5,1197.0,82.85,5.0,3.3
2011,32000,16.47,1198.0,73.9,5.0,2.55
2009,35000,19.7,796.0,46.3,5.0,1.5
2004,105000,11.3,1794.0,125.0,5.0,2.5
2006,56000,19.7,796.0,46.3,5.0,1.4
2012,73000,21.12,1248.0,88.8,5.0,3.4
2012,38000,19.7,796.0,46.3,5.0,2.25
2013,775000,19.3,1968.0,141.0,5.0,7.5
2008,80000,11.3,1794.0,125.0,5.0,2.8
2016,24973,18.6,1197.0,81.83,5.0,7.66
2016,45000,24.3,1248.0,88.5,5.0,7.15
2010,87430,17.0,1497.0,118.0,5.0,3.5
2014,133944,18.0,1248.0,75.0,5.0,3.5
2013,57000,25.8,1498.0,98.6,5.0,3.45
2016,27904,21.1,814.0,55.2,5.0,3.55
2015,30717,21.76,1995.0,190.0,5.0,25.99
2012,80000,22.32,1582.0,126.32,5.0,5.25
2013,47304,21.02,1248.0,88.8,5.0,2.9
2005,100000,14.45,1984.0,227.0,5.0,2.05
2017,30000,24.07,998.0,67.1,5.0,3.75
2014,68000,22.7,1498.0,89.84,5.0,6.75
2011,21000,18.0,995.0,62.0,5.0,0.95
2017,21000,19.33,1999.0,177.0,5.0,52.0
2007,119000,13.1,1997.0,141.1,5.0,3.91
2019,13747,14.67,1798.0,177.46,5.0,27.3
2009,620000,20.36,1197.0,78.9,5.0,2.7
2013,70000,22.9,1248.0,74.0,5.0,3.5
2016,18000,18.5,1197.0,83.14,5.0,6.2
2011,83000,23.08,1461.0,63.1,5.0,2.75
2015,130000,23.4,1248.0,74.0,5.0,3.25
2012,63400,17.8,1399.0,67.0,5.0,3.25
2003,65000,17.3,993.0,60.0,5.0,0.65
2017,8350,13.8,1998.0,192.0,5.0,35.0
2014,45000,23.59,1364.0,67.05,5.0,3.25
2018,26200,24.7,796.0,47.3,5.0,2.9
2011,11000,18.9,796.0,47.0,5.0,2.9
2009,90000,11.0,2993.0,235.0,5.0,17.75
2015,74000,11.07,2496.0,179.5,5.0,8.25
2015,37081,18.9,1197.0,82.0,5.0,5.77
2017,39000,24.3,1248.0,88.5,5.0,9.49
2008,99000,12.07,2967.0,241.4,7.0,12.95
2015,38000,17.9,2143.0,136.0,5.0,20.0
2007,72000,16.1,796.0,37.0,4.0,1.0
2015,93000,20.45,1461.0,83.8,5.0,7.1
2017,5900,21.43,1364.0,87.2,5.0,16.5
2014,25000,15.8,2148.0,170.0,5.0,26.0
2010,68000,21.1,1248.0,73.9,5.0,3.2
2017,35676,16.0,1497.0,117.3,7.0,9.48
2015,74310,24.4,1120.0,71.0,5.0,4.0
2014,59364,14.21,2143.0,203.0,5.0,26.5
2014,41380,14.8,1595.0,120.7,5.0,11.77
2017,33900,15.0,2143.0,204.0,5.0,37.0
2016,28000,17.8,1497.0,117.3,5.0,8.75
2011,93982,17.0,1497.0,118.0,5.0,3.75
2010,95000,16.2,1599.0,103.2,5.0,2.5
2017,9000,13.5,1999.0,246.74,5.0,34.5
2015,52516,18.0,1198.0,86.7,5.0,4.65
2015,20000,18.86,1598.0,122.0,4.0,32.0
2017,56451,13.5,2987.0,282.0,5.0,62.81
2014,37000,21.1,814.0,55.2,5.0,3.25
2014,17400,20.51,998.0,67.04,5.0,3.1
2011,90207,21.1,1248.0,73.9,5.0,3.91
2011,89616,16.07,1995.0,181.0,5.0,11.0
2014,85000,13.49,2179.0,138.03,5.0,3.5
2014,79271,20.38,1968.0,143.0,5.0,16.5
2012,56000,12.7,2179.0,187.7,5.0,30.0
2010,85001,12.0,2987.0,224.0,7.0,28.0
2018,12000,13.5,2477.0,175.56,7.0,28.0
2010,125000,19.7,796.0,46.3,5.0,0.92
2013,53000,14.0,1061.0,64.0,5.0,2.75
2017,34990,12.7,2179.0,187.7,5.0,53.83
2011,49768,17.01,1591.0,121.3,5.0,4.95
2013,56000,16.73,2993.0,218.0,5.0,33.5
2013,75000,14.74,2993.0,270.9,5.0,27.95
2010,57000,13.7,1798.0,157.75,5.0,7.25
2017,37542,15.73,1968.0,174.33,5.0,25.71
2014,95649,12.7,2179.0,187.7,5.0,29.67
2013,35299,14.84,2143.0,170.0,5.0,19.0
2017,28464,15.4,2179.0,120.0,7.0,13.05
2015,41000,21.76,1995.0,190.0,5.0,25.5
2017,9000,15.4,1497.0,117.3,7.0,8.5
2010,92098,16.0,2400.0,215.0,5.0,7.25
2005,5834,13.2,1495.0,94.0,5.0,0.8
2017,40250,17.19,1197.0,81.86,5.0,6.9
2018,22397,11.5,2996.0,367.0,5.0,70.99
2015,20800,21.1,814.0,55.2,5.0,2.25
2018,40322,18.9,1197.0,81.86,5.0,5.5
2013,52576,13.0,1493.0,100.0,5.0,4.35
2010,55000,16.47,1198.0,73.9,5.0,2.25
2016,47000,15.26,1798.0,187.74,5.0,24.5
2017,23163,15.29,1591.0,121.3,5.0,12.03
2011,50000,11.74,1796.0,186.0,5.0,8.5
2014,11900,16.82,1998.0,189.08,4.0,28.5
2013,37000,23.59,1364.0,67.04,5.0,5.75
2014,30000,19.4,1198.0,86.8,5.0,3.2
2018,12831,21.4,1197.0,83.1,5.0,9.89
2012,143017,20.0,1968.0,138.1,5.0,6.58
2018,13102,21.1,814.0,55.2,5.0,4.06
2019,24950,20.37,1461.0,108.45,5.0,13.37
2011,57832,16.2,2993.0,258.0,5.0,25.82
2016,34267,22.74,796.0,47.3,5.0,3.74
2015,33000,16.8,1984.0,150.0,5.0,22.0
2007,55100,18.9,998.0,67.1,5.0,1.45
2008,40000,17.7,1497.0,78.0,5.0,2.0
2017,31841,15.1,1196.0,73.0,5.0,4.7
2014,15000,13.7,1399.0,98.79,8.0,3.75
2016,82756,15.96,2523.0,62.1,7.0,7.7
2014,20600,21.1,814.0,55.2,5.0,2.6
2017,29952,13.0,1591.0,121.3,5.0,13.77
2017,15000,16.09,1598.0,103.5,5.0,7.1
2008,61938,12.9,1799.0,130.0,5.0,2.65
2014,67000,22.3,1248.0,74.0,5.0,2.5
2013,61672,16.0,2179.0,140.0,7.0,7.53
2017,26185,18.6,1197.0,81.83,5.0,7.98
2014,38000,14.16,1968.0,174.3,5.0,39.0
2011,67000,18.5,1197.0,85.8,5.0,2.25
2010,66000,13.17,1999.0,114.0,5.0,3.85
2015,80883,12.8,2494.0,102.0,7.0,13.5
2016,80219,27.62,793.0,47.0,5.0,3.5
2018,12923,25.1,1248.0,88.5,5.0,8.92
2016,86642,15.17,1968.0,181.0,5.0,20.37
2016,19235,21.76,1995.0,190.0,5.0,36.5
2016,51002,11.33,4134.0,335.2,7.0,48.91
2016,6800,18.6,1197.0,81.83,5.0,7.2
2012,82749,19.01,1461.0,108.45,5.0,5.99
2016,51000,24.4,1120.0,71.0,5.0,5.25
2014,31465,22.7,1498.0,89.84,5.0,6.5
2013,76476,16.47,1198.0,73.9,5.0,4.4
2017,14000,24.0,1120.0,70.0,5.0,4.6
2013,47000,21.12,1248.0,88.8,5.0,2.95
2011,48466,17.0,1497.0,118.0,5.0,3.26
2008,46000,17.92,1086.0,62.1,5.0,2.22
2012,162663,12.99,2494.0,100.0,7.0,10.5
2017,25142,28.09,1248.0,88.5,5.0,8.26
2013,69000,12.55,2982.0,169.0,7.0,14.45
2018,26405,12.6,1950.0,191.34,5.0,51.43
2014,45000,15.8,2148.0,170.0,5.0,23.0
2012,64284,17.72,1968.0,108.49,5.0,5.5
2015,27000,18.9,1197.0,82.0,5.0,4.5
2018,3678,18.16,1196.0,86.8,5.0,6.8
2013,21000,16.8,1395.0,138.02,5.0,8.75
2015,67000,19.87,1461.0,83.8,5.0,7.0
2015,24000,15.68,1999.0,177.0,5.0,33.5
2011,75000,20.0,1399.0,68.0,5.0,2.25
2008,179000,12.8,2953.0,156.0,7.0,4.24
2017,47198,12.55,2982.0,168.5,7.0,28.42
2012,52000,22.07,1199.0,73.9,5.0,2.75
2011,91000,23.2,1248.0,73.94,5.0,3.0
2013,60000,23.08,1461.0,63.1,5.0,3.55
2013,37873,22.32,1582.0,126.32,5.0,4.8
2011,31000,10.8,2497.0,150.0,5.0,13.5
2017,129000,11.0,2987.0,258.0,7.0,56.0
2004,78000,12.0,2354.0,187.4,5.0,3.99
2016,32000,17.01,1582.0,126.2,5.0,15.5
2010,59000,19.81,1086.0,68.05,5.0,2.32
2016,35437,20.0,2143.0,136.0,5.0,18.58
2014,98000,16.02,1373.0,93.7,7.0,5.5
2006,72000,18.7,1896.0,66.0,5.0,3.2
2015,79000,18.0,1198.0,86.7,5.0,4.0
2004,29000,17.3,993.0,60.0,5.0,1.6
2013,66012,15.5,1586.0,103.3,5.0,4.15
2014,35000,16.5,1198.0,86.8,5.0,4.25
2011,75000,18.9,998.0,67.1,5.0,2.6
2008,80000,12.1,2362.0,164.7,5.0,3.43
2012,32717,18.6,1199.0,79.4,5.0,2.55
2017,25000,12.55,2982.0,168.5,7.0,32.0
2014,79000,22.7,1498.0,89.84,5.0,6.25
2010,86000,17.8,1248.0,75.0,5.0,3.6
2010,137000,13.5,2987.0,282.0,5.0,18.5
2015,25000,17.3,1497.0,117.3,7.0,4.25
2017,8500,18.9,1197.0,82.0,5.0,4.8
2015,34000,16.0,2179.0,140.0,7.0,13.0
2012,41629,14.83,1598.0,105.0,5.0,2.25
2009,80227,17.92,1086.0,62.1,5.0,2.3
2019,8587,15.29,1591.0,121.3,5.0,13.56
2017,30000,15.4,1997.0,120.0,7.0,12.25
2013,64186,20.5,1598.0,103.5,5.0,3.76
2015,76427,19.01,1461.0,108.45,5.0,8.58
2011,75000,11.7,2993.0,245.0,5.0,27.5
2013,27075,17.6,1496.0,88.73,5.0,4.95
2012,30000,22.5,998.0,67.04,5.0,3.3
2016,69434,15.8,1591.0,121.3,5.0,8.0
2014,56000,23.1,998.0,67.04,5.0,2.79
2017,49275,12.7,2179.0,187.7,5.0,45.64
2014,8700,18.6,1199.0,76.8,5.0,2.55
2014,18000,25.4,624.0,37.5,4.0,1.0
2017,41041,17.68,1968.0,174.33,5.0,37.56
2009,80464,11.0,2987.0,198.5,5.0,9.29
2019,20667,22.0,1197.0,81.8,5.0,6.37
2013,60283,14.6,1368.0,112.0,5.0,2.98
2017,31696,20.4,1197.0,81.8,5.0,5.75
2010,100000,11.5,2982.0,171.0,7.0,13.0
2014,13361,16.02,1373.0,93.7,7.0,6.8
2010,48394,12.05,1995.0,154.0,5.0,10.49
2014,47399,16.02,1373.0,93.7,7.0,5.6
2010,69000,16.8,1497.0,118.0,5.0,2.85
2013,65278,14.66,2199.0,194.3,7.0,8.36
2005,108000,17.0,1405.0,70.0,5.0,1.0
